sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція БОЛЕСЛАВЧИК,станція ОДЕСА-СОРТУВАЛЬНА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,854,79,48.112439,30.784414,46.55422,30.754395
станція БОЛЕСЛАВЧИК,станція ОДЕСА-ТОВАРНА,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,270,83,48.112439,30.784414,46.45531,30.71124
станція БОЛЕСЛАВЧИК,станція ОДЕСА-ТОВАРНА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,496,83,48.112439,30.784414,46.45531,30.71124
станція БОЛЕСЛАВЧИК,станція ОСНОВА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,864,139,48.112439,30.784414,49.9395953,36.2330042
станція БОЛЕСЛАВЧИК,станція САРАТА,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,205,69,48.112439,30.784414,46.0159204,29.6789749
станція БОЛЕСЛАВЧИК,станція САРАТА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,398,81,48.112439,30.784414,46.0159204,29.6789749
станція БОЛЕСЛАВЧИК,станція ХАРКІВ-БАЛАШОВСЬКИЙ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,390,141,48.112439,30.784414,49.9740613,36.2767679
станція БОЛЕСЛАВЧИК,станція ХАРКІВ-ЛІСКИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,813,140,48.112439,30.784414,49.959174,36.238248
станція БОЛЕСЛАВЧИК,станція ЧОРНОМОРСЬК-ПОРТ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,238,96,48.112439,30.784414,46.32227,30.62932
станція БОЛЕСЛАВЧИК,станція ЧОРНОМОРСЬКА (ДЛЯ ТІС),ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,576,79,48.112439,30.784414,46.82775,30.76
станція БОРЩІВ,станція ГРУШКИ,"ЩЕБЕНЬ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",220,120,48.803477,26.060664,50.452278,30.410944
станція БРАЇЛІВ,станція АККАРЖА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,219,105,49.0861866,28.1400596,46.3322,30.55886
станція БРАЇЛІВ,станція БЕРЕЗОВИЦЯ-ОСТРІВ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,337,97.5,49.0861866,28.1400596,49.490776,25.605512
станція БРАЇЛІВ,станція КОЗОВА,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,214,89,49.0861866,28.1400596,49.4296637,25.1642181
станція БРАЇЛІВ,станція КОЗОВА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,1224,89,49.0861866,28.1400596,49.4296637,25.1642181
станція БРАЇЛІВ,станція МАГАЛА (РЗД),ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,224,80.5,49.0861866,28.1400596,48.288608,26.0245891
станція БРАЇЛІВ,станція МАТІЇВЦІ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,256,91,49.0861866,28.1400596,48.4984887,25.1616737
станція БРАЇЛІВ,станція НАДВІРНА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,242,108,49.0861866,28.1400596,48.6242545,24.5847443
станція БРАЇЛІВ,станція НОВОСЕЛИЦЯ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,418,59,49.0861866,28.1400596,48.2240133,26.2806907
станція БРАЇЛІВ,станція НОВОСЕЛИЦЯ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,578,59,49.0861866,28.1400596,48.2240133,26.2806907
станція БРАЇЛІВ,станція ОДЕСА-ЛІСКИ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,216,125,49.0861866,28.1400596,46.522819,30.60268
станція БРАЇЛІВ,станція ОДЕСА-ЛІСКИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,324,94,49.0861866,28.1400596,46.522819,30.60268
станція БРАЇЛІВ,станція РОГАТИН,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,582,80,49.0861866,28.1400596,49.3997817,24.6214515
станція БРАЇЛІВ,станція ЧЕРНІВЦІ-ПІВДЕННА,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,594,67,49.0861866,28.1400596,48.265337,25.957599
станція БРАЇЛІВ,станція ЧЕРНІВЦІ-ПІВДЕННА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,519,67,49.0861866,28.1400596,48.265337,25.957599
станція БУРШТИН,станція ГУМЕНЦІ,"ЗОЛА,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",750,116,49.217461,24.6477491,48.770473,26.606396
станція БУЧАЧ,станція ЧЕРКАСИ,"ЩЕБЕНЬ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",373,98,49.064831,25.3817159,49.425949,32.0498809
станція ВЕЛИКО-АНАДОЛЬ,станція ВОДОЛАГА,"ЩЕБЕНЬ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",409,86,47.698172,37.486528,49.706697,35.8782909
станція ВЕЛИКО-АНАДОЛЬ,станція ДНІПРОРУДНЕ,"ЩЕБЕНЬ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",4644,82,47.698172,37.486528,47.174629,34.962825
станція ВЕЛИКО-АНАДОЛЬ,станція ПРАВДА,ИЗВЕСТЬ НЕГАШЕНАЯ,523,91,47.698172,37.486528,48.517983,34.658394
станція ВІЛЬНОГІРСЬК,станція ДІЇВКА,ПЕСОК СТРОИТЕЛЬНЫЙ,203,40,48.4649743,34.0136594,48.462834,34.9122159
станція ВІЛЬНОГІРСЬК,станція САМАРІВКА,ПЕСОК СТРОИТЕЛЬНЫЙ,215,36,48.4649743,34.0136594,48.540278,35.121667
станція ВІННИЦЯ,станція БЕРЕЗОВИЦЯ-ОСТРІВ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,274,91,49.239428,28.5106651,49.490776,25.605512
станція ВІННИЦЯ,станція КОЗОВА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,583,77,49.239428,28.5106651,49.4296637,25.1642181
