sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція ПАВЛИШ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,401,102,48.9119474,33.3385239,46.9575,31.975556
станція ПАВЛИШ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,228,136.5,48.9119474,33.3385239,46.485545,30.748833
станція ПАВЛИШ,станція ПРИБУЗЬКА  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,551,77,48.9119474,33.3385239,46.862121,32.0406991
станція ПАВЛИШ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,403,131,48.9119474,33.3385239,46.322273,30.629317
станція ПАЛЬМІРА,станція МИКОЛАЇВ-ВАНТАЖНИЙ,ПШЕНИЦА,407,100,49.76097,32.15311,46.9576791,31.9758924
станція ПАНТАЇВКА,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,254,85,48.6772502,32.8818364,46.9575,31.975556
станція ПАРТИЗАНИ,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,492,133,46.329722,34.749722,46.834899,31.967136
станція ПАРТИЗАНИ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,709,110,46.329722,34.749722,46.9575,31.975556
станція ПАРТИЗАНИ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЯЧМЕНЬ,221,110,46.329722,34.749722,46.9575,31.975556
станція ПАРТИЗАНИ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,228,136,46.329722,34.749722,46.485545,30.748833
станція ПАРТИЗАНИ,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ПШЕНИЦА,306,131,46.329722,34.749722,46.82775,30.76
станція ПЕТРОПАВЛІВКА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,668,274,48.4572195,36.4347301,46.322273,30.629317
станція ПЕТРОПАВЛІВКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,292,151,48.4572195,36.4347301,46.82775,30.76
станція ПЕЧАНІВКА,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,322,101,50.0752026,27.8005033,46.485545,30.748833
станція ПИРЯТИН,станція ЖОВТНЕВА  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,872,118,50.23819,32.5059299,46.834899,31.967136
станція ПИРЯТИН,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,420,146,50.23819,32.5059299,46.36337,30.62144
станція ПИРЯТИН,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,1587,133,50.23819,32.5059299,46.9575,31.975556
станція ПІДВОЛОЧИСЬК,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,337,148,49.5292884,26.138956,46.322273,30.629317
