sender,receiver,median_speed_km_day,lat_sender,lon_sender,lat_receiver,lon_receiver
станція РЯДОВА,станція ЄНАКІЄВЕ,149,48.229267,33.534595,48.2259,38.203245
станція РЯДОВА,станція САРТАНА,182,48.229267,33.534595,47.1536589,37.5740898
станція РЯДОВА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),175,48.229267,33.534595,46.82775,30.76
станція ТЕРНИ,станція АСЛАНОВЕ,180,48.178684,33.534576,47.245581,37.581294
станція ТЕРНИ,станція АСЛАНОВЕ,135,48.178684,33.534576,47.245581,37.581294
станція ТЕРНИ,станція БЕРЕГОВА  (ЕКСП.),180,48.178684,33.534576,46.632276,31.044189
станція ТЕРНИ,станція БЕРЕГОВА  (ЕКСП.),180,48.178684,33.534576,46.632276,31.044189
станція ТЕРНИ,станція ЄНАКІЄВЕ,151,48.178684,33.534576,48.2259,38.203245
станція ТЕРНИ,станція КАМ’ЯНСЬКЕ,56,48.178684,33.534576,48.4974778,34.6042228
станція ТЕРНИ,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,182,48.178684,33.534576,47.20838,37.5633199
станція ТЕРНИ,станція МУШКЕТОВЕ,145,48.178684,33.534576,47.977417,37.8578791
станція ТЕРНИ,станція САРТАНА,184,48.178684,33.534576,47.1536589,37.5740898
станція ТЕРНИ,станція ЧОП (ЕКСП. ЧД),617,48.178684,33.534576,48.432477,22.2055633
станція ТЕРНИ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),133,48.178684,33.534576,46.82775,30.76
станція ШМАКОВЕ,станція БАТЬОВО (ЕКСП. МАВ),628,47.959365,33.403575,48.3616037,22.3862198
станція ШМАКОВЕ,станція РЕНІ (ЕКСП. ЧФР),116,47.959365,33.403575,45.457968,28.265869
станція ШМАКОВЕ,станція УЖГОРОД (ЕКСП. ЖСР),432,47.959365,33.403575,48.6094982,22.3006874
станція ШМАКОВЕ,станція УЖГОРОД (ЕКСП. ЖСР),432,47.959365,33.403575,48.6094982,22.3006874
