sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція МОСТИСЬКА II (ЕКСП. ПКП),станція ЯМНИЦЯ,УГОЛЬ КАМЕННЫЙ СИЛЕЗСКИЙ (ПОЛЬСКИЙ),872,55,49.8166178,23.0325224,48.9855201,24.7113369
станція НИЖНЬОКРИНКА,станція ЕЛЕКТРИЧНА,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,2434,88,48.129516,38.208348,48.867694,37.755615
станція НИЖНЬОКРИНКА,станція ЛИМАН,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,378,135,48.129516,38.208348,48.9644789,37.8275288
станція НОВОГРОДІВКА,станція ЦУКУРИХА,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,41,5,48.189131,37.334021,48.084594,37.307092
станція ПЕЛАГІЇВСЬКИЙ,станція ЕЛЕКТРИЧНА,АНТРАЦИТ,46,49,48.092167,38.594515,48.867694,37.755615
станція ПЕТРОВЕНЬКИ,станція ДАРНИЦЯ,АНТРАЦИТ,1730,217,48.286289,38.843062,50.430674,30.643448
станція ПЕТРОВЕНЬКИ,станція СУМИ,АНТРАЦИТ,144,133,48.286289,38.843062,50.926937,34.8087574
станція ПЕТРОВЕНЬКИ,станція ЧЕРНІГІВ,АНТРАЦИТ,1197,168,48.286289,38.843062,51.4855,31.2666
станція ПІВДЕННОДОНБАСЬКА,станція НОВОГРОДІВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,41,112,47.751667,37.509722,48.189131,37.334021
станція ПІВДЕННОДОНБАСЬКА,станція НОВОГРОДІВКА,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",43,56,47.751667,37.509722,48.189131,37.334021
станція ПОКРОВСЬК,станція ЕНЕРГОДАР,КОНЦЕНТРАТ УГОЛЬНЫЙ,47,135,48.285102,37.1816185,47.494636,34.64672
станція ПОКРОВСЬК,станція СВІТЛОДАРСЬКЕ,КОНЦЕНТРАТ УГОЛЬНЫЙ,6113,163,48.285102,37.1816185,48.460125,38.170116
станція ПОСТНИКОВЕ,станція ЕЛЕКТРИЧНА,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,86,132.5,48.040808,38.49543,48.867694,37.755615
станція ПОСТНИКОВЕ,станція ЧУГУЇВ,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,60,60,48.040808,38.49543,49.8197326,36.6729053
станція ПРАВДА,станція ГУМЕНЦІ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",43,235,48.517983,34.658394,48.770473,26.606396
станція РОДИНСЬКА,станція АВДІЇВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,131,31,48.362572,37.198645,48.148889,37.733333
станція РОДИНСЬКА,станція БУРШТИН,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,384,453,48.362572,37.198645,49.217461,24.6477491
станція РОДИНСЬКА,станція ДОБРОТВІР,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,43,439,48.362572,37.198645,50.20584,24.386969
станція РОДИНСЬКА,станція ЛАДИЖИН,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,95,196,48.362572,37.198645,48.609462,29.1503679
станція РОДИНСЬКА,станція САРТАНА,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,41,125,48.362572,37.198645,47.1536589,37.5740898
станція СЛОВ’ЯНОСЕРБСЬК,станція ЕЛЕКТРИЧНА,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,44,68,48.546957,38.9143369,48.867694,37.755615
станція СЛОВ’ЯНОСЕРБСЬК,станція ЧЕРКАСИ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,52,122,48.546957,38.9143369,49.425949,32.0498809
станція СОСНІВКА,станція БУРШТИН,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,41,60,50.2918113,24.263036,49.217461,24.6477491
станція УДАЧНА,станція МАКІЇВКА,КОНЦЕНТРАТ УГОЛЬНЫЙ,44,25,48.237717,36.99034,48.007681,37.9815461
