sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція БУЧАЧ,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,485,69.5,49.064831,25.3817159,46.485545,30.748833
станція БУЧАЧ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,1007,146,49.064831,25.3817159,46.485545,30.748833
станція БУЧАЧ,станція ЧОРНОМОРСЬК-ПОРТ,ПШЕНИЦА,49,128,49.064831,25.3817159,46.32227,30.62932
станція БУЧАЧ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,105,95.5,49.064831,25.3817159,46.322273,30.629317
станція БУЧАЧ,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ЯЧМЕНЬ,45,113,49.064831,25.3817159,46.82775,30.76
станція БУЧАЧ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,439,133,49.064831,25.3817159,46.82775,30.76
станція ВАРВАРІВКА,станція МИКОЛАЇВ-ВАНТАЖНИЙ,ЗЕРНО КУКУРУЗЫ,54,83,48.7048,35.98577,46.9576791,31.9758924
станція ВАРВАРІВКА,станція ЧОРНОМОРСЬК-ПОРТ,ПШЕНИЦА,54,98,48.7048,35.98577,46.32227,30.62932
станція ВАСКАУЦИ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,49,51,48.465725,27.138708,46.485545,30.748833
станція ВАСКАУЦИ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,46,74,48.465725,27.138708,46.82775,30.76
станція ВЕСЕЛИЙ КУТ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,96,49.5,47.1060754,29.9920901,46.322273,30.629317
станція ВЕСЕЛИЙ КУТ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,СОЛОД В ЗЕРНЕ,306,71,47.1060754,29.9920901,46.322273,30.629317
станція ВЕСЕЛИЙ ПОДІЛ,станція ЖОВТНЕВА  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,108,171,49.6031947,33.1876332,46.834899,31.967136
станція ВЕСЕЛИЙ ПОДІЛ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,54,100,49.6031947,33.1876332,46.9575,31.975556
станція ВИРІВКА,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,50,169,51.26295,33.173564,46.834899,31.967136
станція ВИРІВКА,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,47,167,51.26295,33.173564,46.9575,31.975556
станція ВИРІВКА,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,199,200,51.26295,33.173564,46.485545,30.748833
станція ВИРІВКА,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ЗЕРНО КУКУРУЗЫ,42,158,51.26295,33.173564,46.82775,30.76
станція ВИРІВКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,97,717.5,51.26295,33.173564,46.82775,30.76
станція ВІЙТІВЦІ,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,54,77,49.497128,26.445956,46.36337,30.62144
станція ВІЙТІВЦІ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,54,106,49.497128,26.445956,46.485545,30.748833
станція ВІЙТІВЦІ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,51,94,49.497128,26.445956,46.322273,30.629317
станція ВІЙТІВЦІ,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ЗЕРНО КУКУРУЗЫ,54,53,49.497128,26.445956,46.82775,30.76
станція ВІЙТІВЦІ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,51,85,49.497128,26.445956,46.82775,30.76
