sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція ГНІВАНЬ,станція КСЕНІЄВЕ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,49,106,49.1023539,28.3299434,46.36337,30.62144
станція ГНІВАНЬ,станція НАДВІРНА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,52,111,49.1023539,28.3299434,48.6242545,24.5847443
станція ГНІВАНЬ,станція ОДЕСА-ЛІСКИ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,48,130,49.1023539,28.3299434,46.522819,30.60268
станція ГНІВАНЬ,станція ОДЕСА-ТОВАРНА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,58,135,49.1023539,28.3299434,46.45531,30.71124
станція ГНІВАНЬ,станція РЯСНА II,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,43,129,49.1023539,28.3299434,49.8636374,23.9381062
станція ГНІВАНЬ,станція САДГОРА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,50,80,49.1023539,28.3299434,48.332069,25.949382
станція ГНІВАНЬ,станція СОКАЛЬ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,47,96,49.1023539,28.3299434,50.4649598,24.2574808
станція ГНІВАНЬ,станція ТЕРНОПІЛЬ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,567,120,49.1023539,28.3299434,49.56629,25.592613
станція ГРАНІТНИЙ,станція ПЕРЕЯСЛАВСЬКА,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,97,179,50.749028,29.347611,50.2639559,31.6561389
станція ЗАПОРІЖЖЯ-КАМ’ЯНСЬКЕ,станція НОВООЛЕКСІЇВКА,МУСОР ПОСТРОЕЧНЫЙ,52,91,48.4808925,34.6462622,46.209257,34.6323769
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція КАЛАНЧАК,ШЛАКИ ДОМЕННЫЕ,404,150,47.86944,35.1917334,46.254876,33.465578
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція КОЧУБЕЇВКА,ШЛАКИ ДОМЕННЫЕ,664,146,47.86944,35.1917334,49.741944,34.969722
станція ЗОЛОТНИШИНЕ,станція ХАРКІВ-СОРТУВАЛЬНИЙ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,159,151,49.018889,33.644722,50.030735,36.177962
станція ІГНАТПІЛЬ,станція АДАМПІЛЬ,ПЕСОК СТРОИТЕЛЬНЫЙ,51,142,51.144154,28.7288837,49.6683,27.67146
станція ІГНАТПІЛЬ,станція БРОВАРИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,51,26,51.144154,28.7288837,50.5147282,30.8132567
станція ІГНАТПІЛЬ,станція ВИШНЕВЕ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,48,22,51.144154,28.7288837,50.384178,30.37057
станція КАМ’ЯНСЬКЕ,станція КАЛАНЧАК,ШЛАКИ ДОМЕННЫЕ,45,98,48.4974778,34.6042228,46.254876,33.465578
станція КЛЕСІВ,станція ГЛИННА-НАВАРІЯ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,43,56,51.3118938,26.8919075,49.734195,23.8989759
станція КЛЕСІВ,станція ГОРОДОК-ЛЬВІВСЬКИЙ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,287,148,51.3118938,26.8919075,49.789677,23.629894
