sender,lat_sender,lon_sender,no_wagons,receiver,lat_receiver,lon_receiver
станція КУРАХІВКА,48.035687,37.374858,17036,станція РОСІЯ,48.159167,37.360833
станція КУРАХІВКА,48.035687,37.374858,17036,станція ЦУКУРИХА,48.084594,37.307092
станція ЛИМАН,48.9644789,37.8275288,18080,станція КРИВИЙ РІГ-ГОЛОВНИЙ,47.9123,33.451545
станція ЛИМАН,48.9644789,37.8275288,18080,станція ЛИМАН,48.9644789,37.8275288
станція ЛИМАН,48.9644789,37.8275288,18080,станція СВІТЛОДАРСЬКЕ,48.460125,38.170116
станція ЛИМАН,48.9644789,37.8275288,18080,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,50.1397982,30.7534098
станція МАКІЇВКА,48.007681,37.9815461,16077,станція ЕЛЕКТРИЧНА,48.867694,37.755615
станція МАКІЇВКА,48.007681,37.9815461,16077,станція КОМУНАРСЬК,48.483418,38.778808
станція МАКІЇВКА,48.007681,37.9815461,16077,станція КРИНИЧНА,48.126003,38.026796
станція МАКІЇВКА,48.007681,37.9815461,16077,станція НОВИЙ СВІТ,47.803492,38.0067229
станція МИКОЛАЇВКА-ДОНЕЦЬКА,48.37885,36.3491541,73638,станція БУРШТИН,49.217461,24.6477491
станція МИКОЛАЇВКА-ДОНЕЦЬКА,48.37885,36.3491541,73638,станція ДОБРОПІЛЛЯ,48.4481566,37.0757679
станція МИКОЛАЇВКА-ДОНЕЦЬКА,48.37885,36.3491541,73638,станція ЕНЕРГОДАР,47.494636,34.64672
станція МИКОЛАЇВКА-ДОНЕЦЬКА,48.37885,36.3491541,73638,станція КУРАХІВКА,48.035687,37.374858
станція МИКОЛАЇВКА-ДОНЕЦЬКА,48.37885,36.3491541,73638,станція ЛАДИЖИН,48.609462,29.1503679
станція МИКОЛАЇВКА-ДОНЕЦЬКА,48.37885,36.3491541,73638,станція РОДИНСЬКА,48.362572,37.198645
станція МИКОЛАЇВКА-ДОНЕЦЬКА,48.37885,36.3491541,73638,станція РОЯ,47.989332,37.306483
станція МОСТИСЬКА II (ЕКСП. ПКП),49.8166178,23.0325224,6724,станція БАТУРИНСЬКА,47.872783,33.48381
станція МОСТИСЬКА II (ЕКСП. ПКП),49.8166178,23.0325224,6724,станція ЯМНИЦЯ,48.9855201,24.7113369
станція НИЖНЬОКРИНКА,48.129516,38.208348,35049,станція ЕЛЕКТРИЧНА,48.867694,37.755615
станція НИЖНЬОКРИНКА,48.129516,38.208348,35049,станція ЛИМАН,48.9644789,37.8275288
станція НИЖНЬОКРИНКА,48.129516,38.208348,35049,станція НОВИЙ СВІТ,47.803492,38.0067229
станція НИЖНЬОКРИНКА,48.129516,38.208348,35049,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,50.1397982,30.7534098
станція НИЖНЬОКРИНКА,48.129516,38.208348,35049,станція ЧУГУЇВ,49.8197326,36.6729053
станція НОВОГРОДІВКА,48.189131,37.334021,32448,станція ЕЛЕКТРИЧНА,48.867694,37.755615
