sender,lat_sender,lon_sender,no_wagons,receiver,lat_receiver,lon_receiver
станція КРИВИЙ РІГ,47.880874,33.384342,311235,станція КАМ’ЯНСЬКЕ,48.4974778,34.6042228
станція КРИВИЙ РІГ,47.880874,33.384342,311235,станція МОСТИСЬКА II (ЕКСП. ПКП),49.8166178,23.0325224
станція КРИВИЙ РІГ,47.880874,33.384342,311235,станція МОСТИСЬКА II (ЕКСП. ЧД),49.8166178,23.0325224
станція КРИВИЙ РІГ,47.880874,33.384342,311235,станція САРТАНА,47.1536589,37.5740898
станція КРИВИЙ РІГ,47.880874,33.384342,311235,станція УЖГОРОД (ЕКСП. ЖСР),48.6094982,22.3006874
станція КРИВИЙ РІГ,47.880874,33.384342,311235,станція УЖГОРОД (ЕКСП. ЧД),48.6094982,22.3006874
станція КРИВИЙ РІГ,47.880874,33.384342,311235,станція ЧОП (ЕКСП. ЧД),48.432477,22.2055633
станція КРИВИЙ РІГ,47.880874,33.384342,311235,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція КРИВИЙ РІГ-ГОЛОВНИЙ,47.9123,33.451545,19244,станція ІЗМАЇЛ  (ЕКСП.),45.3600096,28.812532
станція КРИВИЙ РІГ-ГОЛОВНИЙ,47.9123,33.451545,19244,станція ІЗОВ (ЕКСП. ПКП),50.828474,24.059367
станція КРИВИЙ РІГ-ГОЛОВНИЙ,47.9123,33.451545,19244,станція МОСТИСЬКА II (ЕКСП. ЧД),49.8166178,23.0325224
станція КРИВИЙ РІГ-ГОЛОВНИЙ,47.9123,33.451545,19244,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція МАРГАНЕЦЬ,47.6544363,34.6198112,11021,станція ГОРЯЇНОВЕ,48.478592,34.983294
станція МАРГАНЕЦЬ,47.6544363,34.6198112,11021,станція НІКОПОЛЬ,47.5853703,34.3913662
станція МУДРЬОНА,47.914665,33.4025031,11269,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,47.20838,37.5633199
станція ПОРОМНА-ЕКСПОРТ (РИБНИЙ ПОРТ),46.39689,30.656375,13661,станція НІКОПОЛЬ,47.5853703,34.3913662
станція РОКУВАТА,48.04391,33.478736,112296,станція БАТЬОВО (ЕКСП. МАВ),48.3616037,22.3862198
станція РОКУВАТА,48.04391,33.478736,112296,станція ІЗМАЇЛ  (ЕКСП.),45.3600096,28.812532
станція РОКУВАТА,48.04391,33.478736,112296,станція ІЗОВ (ЕКСП. ПКП),50.828474,24.059367
станція РОКУВАТА,48.04391,33.478736,112296,станція КРИВИЙ РІГ,47.880874,33.384342
станція РОКУВАТА,48.04391,33.478736,112296,станція МОСТИСЬКА II (ЕКСП. ЧД),49.8166178,23.0325224
станція РОКУВАТА,48.04391,33.478736,112296,станція УЖГОРОД (ЕКСП. ЖСР),48.6094982,22.3006874
станція РОКУВАТА,48.04391,33.478736,112296,станція ЧОП (ЕКСП. ЧД),48.432477,22.2055633
станція РЯДОВА,48.229267,33.534595,171496,станція АСЛАНОВЕ,47.245581,37.581294
станція РЯДОВА,48.229267,33.534595,171496,станція БЕРЕГОВА  (ЕКСП.),46.632276,31.044189
станція РЯДОВА,48.229267,33.534595,171496,станція ЄНАКІЄВЕ,48.2259,38.203245
станція РЯДОВА,48.229267,33.534595,171496,станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334
станція РЯДОВА,48.229267,33.534595,171496,станція КАМ’ЯНСЬКЕ,48.4974778,34.6042228
станція РЯДОВА,48.229267,33.534595,171496,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,47.20838,37.5633199
станція РЯДОВА,48.229267,33.534595,171496,станція САРТАНА,47.1536589,37.5740898
станція РЯДОВА,48.229267,33.534595,171496,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція ТЕРНИ,48.178684,33.534576,88803,станція АСЛАНОВЕ,47.245581,37.581294
станція ТЕРНИ,48.178684,33.534576,88803,станція БЕРЕГОВА  (ЕКСП.),46.632276,31.044189
станція ТЕРНИ,48.178684,33.534576,88803,станція ЄНАКІЄВЕ,48.2259,38.203245
станція ТЕРНИ,48.178684,33.534576,88803,станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334
станція ТЕРНИ,48.178684,33.534576,88803,станція ІЗОВ (ЕКСП. ПКП),50.828474,24.059367
станція ТЕРНИ,48.178684,33.534576,88803,станція КАМ’ЯНСЬКЕ,48.4974778,34.6042228
станція ТЕРНИ,48.178684,33.534576,88803,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,47.20838,37.5633199
станція ТЕРНИ,48.178684,33.534576,88803,станція МОСТИСЬКА II (ЕКСП. ПКП),49.8166178,23.0325224
станція ТЕРНИ,48.178684,33.534576,88803,станція МУШКЕТОВЕ,47.977417,37.8578791
станція ТЕРНИ,48.178684,33.534576,88803,станція САРТАНА,47.1536589,37.5740898
станція ТЕРНИ,48.178684,33.534576,88803,станція УЖГОРОД (ЕКСП. ЖСР),48.6094982,22.3006874
станція ТЕРНИ,48.178684,33.534576,88803,станція ЧОП (ЕКСП. ЧД),48.432477,22.2055633
станція ТЕРНИ,48.178684,33.534576,88803,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція ЧАПЛИНЕ,48.12727,36.2336901,10028,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,47.20838,37.5633199
станція ЧАПЛИНЕ,48.12727,36.2336901,10028,станція САРТАНА,47.1536589,37.5740898
станція ЧОРТОМЛИК,47.61863,34.13276,8930,станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334
станція ШМАКОВЕ,47.959365,33.403575,48309,станція БАТЬОВО (ЕКСП. МАВ),48.3616037,22.3862198
станція ШМАКОВЕ,47.959365,33.403575,48309,станція ІЗМАЇЛ  (ЕКСП.),45.3600096,28.812532
станція ШМАКОВЕ,47.959365,33.403575,48309,станція МОСТИСЬКА II (ЕКСП. ЧД),49.8166178,23.0325224
станція ШМАКОВЕ,47.959365,33.403575,48309,станція УЖГОРОД (ЕКСП. ЖСР),48.6094982,22.3006874
станція ШМАКОВЕ,47.959365,33.403575,48309,станція ЧОП (ЕКСП. ЧД),48.432477,22.2055633
станція ШМАКОВЕ,47.959365,33.403575,48309,станція ЯМНИЦЯ,48.9855201,24.7113369
