sender,lat_sender,lon_sender,no_wagons,receiver,lat_receiver,lon_receiver
станція БЕХИ,51.072889,28.677556,15628,станція КИЇВ-ДЕМІЇВСЬКИЙ,50.4047454,30.5370509
станція БЕХИ,51.072889,28.677556,15628,станція СИХІВ,49.787217,24.07466
станція БЕХИ,51.072889,28.677556,15628,станція ЧЕРНІГІВ ПІВНІЧНИЙ,51.519809,31.248508
станція БОЛЕСЛАВЧИК,48.112439,30.784414,26433,станція АККАРЖА,46.3322,30.55886
станція БОЛЕСЛАВЧИК,48.112439,30.784414,26433,станція ДАЧНЕ,50.8093821,25.4025522
станція БОЛЕСЛАВЧИК,48.112439,30.784414,26433,станція ІЗМАЇЛ,45.3600096,28.812532
станція БОЛЕСЛАВЧИК,48.112439,30.784414,26433,станція КОТЛАБУХ,45.6264999,28.9768277
станція БОЛЕСЛАВЧИК,48.112439,30.784414,26433,станція КСЕНІЄВЕ,46.36337,30.62144
станція БОЛЕСЛАВЧИК,48.112439,30.784414,26433,станція ОДЕСА-ЗАСТАВА I,46.4776308,30.6545697
станція БОЛЕСЛАВЧИК,48.112439,30.784414,26433,станція ОДЕСА-ЛІСКИ,46.522819,30.60268
станція БОЛЕСЛАВЧИК,48.112439,30.784414,26433,станція ОДЕСА-СОРТУВАЛЬНА,46.55422,30.754395
станція БРАЇЛІВ,49.0861866,28.1400596,14259,станція КОЗОВА,49.4296637,25.1642181
станція БРАЇЛІВ,49.0861866,28.1400596,14259,станція ТЕРНОПІЛЬ,49.56629,25.592613
станція БРАЇЛІВ,49.0861866,28.1400596,14259,станція ЧЕРНІВЦІ-ПІВДЕННА,48.265337,25.957599
станція ВЕЛИКО-АНАДОЛЬ,47.698172,37.486528,13175,станція ДНІПРОРУДНЕ,47.174629,34.962825
станція ВОЗНЕСЕНСЬК,47.573511,31.3238392,30237,станція АККАРЖА,46.3322,30.55886
станція ВОЗНЕСЕНСЬК,47.573511,31.3238392,30237,станція ІЗМАЇЛ,45.3600096,28.812532
станція ВОЗНЕСЕНСЬК,47.573511,31.3238392,30237,станція КСЕНІЄВЕ,46.36337,30.62144
станція ВОЗНЕСЕНСЬК,47.573511,31.3238392,30237,станція ОДЕСА-ЗАСТАВА I,46.4776308,30.6545697
станція ВОЗНЕСЕНСЬК,47.573511,31.3238392,30237,станція ОДЕСА-ЛІСКИ,46.522819,30.60268
станція ВОЗНЕСЕНСЬК,47.573511,31.3238392,30237,станція ОДЕСА-ПЕРЕСИП,46.52502,30.726413
станція ВОЗНЕСЕНСЬК,47.573511,31.3238392,30237,станція ОДЕСА-СОРТУВАЛЬНА,46.55422,30.754395
станція ВОЗНЕСЕНСЬК,47.573511,31.3238392,30237,станція ОДЕСА-ТОВАРНА,46.45531,30.71124
станція ВОЗНЕСЕНСЬК,47.573511,31.3238392,30237,станція ЧОРНОМОРСЬКА (ДЛЯ ТІС),46.82775,30.76
станція ГАЙВОРОН,48.344795,29.817622,21749,станція БОРЖАВА,48.164559,22.719349
станція ГАЙВОРОН,48.344795,29.817622,21749,станція ІЗМАЇЛ,45.3600096,28.812532
станція ГАЙВОРОН,48.344795,29.817622,21749,станція КСЕНІЄВЕ,46.36337,30.62144
станція ГАЙВОРОН,48.344795,29.817622,21749,станція НАДВІРНА,48.6242545,24.5847443
станція ГНІВАНЬ,49.1023539,28.3299434,28018,станція АККАРЖА,46.3322,30.55886
станція ГНІВАНЬ,49.1023539,28.3299434,28018,станція БЕРЕЗОВИЦЯ-ОСТРІВ,49.490776,25.605512
станція ГНІВАНЬ,49.1023539,28.3299434,28018,станція ІВАНО-ФРАНКІВСЬК,48.9251948,24.7235268
станція ГНІВАНЬ,49.1023539,28.3299434,28018,станція ОДЕСА-ЗАСТАВА I,46.4776308,30.6545697
станція ГНІВАНЬ,49.1023539,28.3299434,28018,станція ОДЕСА-ЛІСКИ,46.522819,30.60268
станція ГНІВАНЬ,49.1023539,28.3299434,28018,станція ПОЧАЙНА,50.485104,30.500415
станція ГНІВАНЬ,49.1023539,28.3299434,28018,станція ТЕРНОПІЛЬ,49.56629,25.592613
станція ГНІВАНЬ,49.1023539,28.3299434,28018,станція ХМЕЛЬНИЦЬКИЙ,49.416645,27.0097674
станція ГРАНІТНИЙ,50.749028,29.347611,47147,станція ДАРНИЦЯ,50.430674,30.643448
станція ГРАНІТНИЙ,50.749028,29.347611,47147,станція КИЇВ-ВОЛИНСЬКИЙ,50.4121955,30.4301124
станція ГРАНІТНИЙ,50.749028,29.347611,47147,станція КИЇВ-ДЕМІЇВСЬКИЙ,50.4047454,30.5370509
станція ГРАНІТНИЙ,50.749028,29.347611,47147,станція ПОЧАЙНА,50.485104,30.500415
станція ГРАНІТНИЙ,50.749028,29.347611,47147,станція СВЯТОШИН,50.457771,30.390591
станція ГРАНІТНИЙ,50.749028,29.347611,47147,станція ЧЕРНІГІВ,51.4855,31.2666
станція ДЕКОНСЬКА,48.676131,38.084713,14204,станція ГРУШКИ,50.452278,30.410944
станція ДЕКОНСЬКА,48.676131,38.084713,14204,станція ІВАНО-ФРАНКІВСЬК,48.9251948,24.7235268
станція ДЕКОНСЬКА,48.676131,38.084713,14204,станція ОДЕСА-ЗАСТАВА I,46.4776308,30.6545697
станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334,14272,станція ДНІПРОРУДНЕ,47.174629,34.962825
станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334,14272,станція КОЧУБЕЇВКА,49.741944,34.969722
станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334,14272,станція НОВООЛЕКСІЇВКА,46.209257,34.6323769
станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334,14272,станція СУПРУНІВКА,49.587831,34.476587
станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334,14272,станція ХОРОЛ,49.7844376,33.2073584
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,26120,станція ІНДУСТРІАЛЬНА,49.962852,36.391769
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,26120,станція ХАРКІВ-БАЛАШОВСЬКИЙ,49.9740613,36.2767679
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,26120,станція ХАРКІВ-ВАНТАЖНИЙ,49.847,36.2473
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,26120,станція ХАРКІВ-ЛІСКИ,49.959174,36.238248
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,26120,станція ХАРКІВ-СОРТУВАЛЬНИЙ,50.030735,36.177962
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ГІРНИК,50.353333,24.223611
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ГОРОДОК-ЛЬВІВСЬКИЙ,49.789677,23.629894
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ДАВИДІВ,49.7431731,24.1471702
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ДРОГОБИЧ,49.3551448,23.5434562
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ЖОВКВА,50.005451,24.0122791
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ЗАПИТІВ,49.920035,24.2236161
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ІЗОВ (ЕКСП. ПКП),50.828474,24.059367
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція МИКОЛАЇВ-ДНІСТРОВСЬКИЙ,49.5119481,23.9535355
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція НАДВІРНА,48.6242545,24.5847443
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ОЖИДІВ-ОЛЕСЬКО,49.971908,24.819727
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ПЕРСЕНКІВКА,49.8098013,24.030408
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ПІДЗАМЧЕ,49.8513992,24.0337885
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція РАДИВИЛІВ,50.1284748,25.2516423
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція РЯСНА II,49.8636374,23.9381062
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція САМБІР,49.5167877,23.2122175
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція СКНИЛІВ,49.818992,23.931606
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція СОКАЛЬ,50.4649598,24.2574808
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція СУДОВА ВИШНЯ,49.799282,23.384659
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ХОДОВИЧІ,49.292743,23.964737
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ХРИПЛИН,48.8851079,24.7468767
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ЧЕРНІВЦІ-ПІВДЕННА,48.265337,25.957599
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ШКЛО-СТАРЖИСЬКА,49.970053,23.5551111
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ЩИРЕЦЬ II,49.6560451,23.8696466
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ЯВОРІВ,49.961643,23.405085
станція КЛЕСІВ,51.3118938,26.8919075,126294,станція ЯГОДИН (ЕКСП. ПКП),51.198201,23.895884
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,50.960908,28.5927599,39511,станція ВИШНЕВЕ,50.384178,30.37057
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,50.960908,28.5927599,39511,станція ДАРНИЦЯ,50.430674,30.643448
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,50.960908,28.5927599,39511,станція КИЇВ-ВОЛИНСЬКИЙ,50.4121955,30.4301124
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,50.960908,28.5927599,39511,станція КИЇВ-ДЕМІЇВСЬКИЙ,50.4047454,30.5370509
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,50.960908,28.5927599,39511,станція ПОЧАЙНА,50.485104,30.500415
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,50.960908,28.5927599,39511,станція СВЯТОШИН,50.457771,30.390591
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,50.960908,28.5927599,39511,станція ХОРОЛ,49.7844376,33.2073584
станція КОРОСТЕНЬ- ЖИТОМИРСЬКИЙ,50.960908,28.5927599,39511,станція ЧЕРНІГІВ,51.4855,31.2666
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція БАТУРИНСЬКА,47.872783,33.48381
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція БУДИ,49.889228,36.022586
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ВОВЧАНСЬК,50.282813,36.919697
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ВОДОЛАГА,49.706697,35.8782909
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ГУБАРІВКА,50.14025,35.366708
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ДАЧНЕ,50.8093821,25.4025522
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ДЕРГАЧІ,50.099319,36.135486
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ЗАОСКІЛЛЯ,49.708273,37.63754
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ЗОЛОЧІВ,49.7897214,24.8904427
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ІНДУСТРІАЛЬНА,49.962852,36.391769
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція КОТЛАБУХ,45.6264999,28.9768277
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція КОЧУБЕЇВКА,49.741944,34.969722
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ОСНОВА,49.9395953,36.2330042
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ПОЛТАВА-ПІВДЕННА,49.5821613,34.5948456
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція РОГАНЬ,49.902763,36.431533
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція РУБІЖНЕ,49.0241813,38.3538418
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція СЛОВ’ЯНКА,48.387022,36.707146
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція СУПРУНІВКА,49.587831,34.476587
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ХАРКІВ-БАЛАШОВСЬКИЙ,49.9740613,36.2767679
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ХАРКІВ-ЛІСКИ,49.959174,36.238248
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ХАРКІВ-СОРТУВАЛЬНИЙ,50.030735,36.177962
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ХОРОЛ,49.7844376,33.2073584
станція КРЕМЕНЧУК,49.0678972,33.4277227,95810,станція ШЕВЧЕНКОВЕ-ПІВДЕННЕ,49.6945751,37.1755033
станція КРЮКІВ-НА-ДНІПРІ,49.034444,33.435556,26031,станція ОСНОВА,49.9395953,36.2330042
станція КРЮКІВ-НА-ДНІПРІ,49.034444,33.435556,26031,станція СУПРУНІВКА,49.587831,34.476587
станція КРЮКІВ-НА-ДНІПРІ,49.034444,33.435556,26031,станція ХАРКІВ-СОРТУВАЛЬНИЙ,50.030735,36.177962
станція НІКОПОЛЬ,47.5853703,34.3913662,16212,станція КАХОВКА,46.753355,33.4315209
станція НІКОПОЛЬ,47.5853703,34.3913662,16212,станція ХЕРСОН,46.6562558,32.6048735
станція НІКОПОЛЬ,47.5853703,34.3913662,16212,станція ЧЕРКАСИ,49.425949,32.0498809
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція АРЦИЗ,45.9968241,29.4199425
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція БЕРЕГОВА,46.632276,31.044189
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,46.1851723,30.3377686
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція ІЗМАЇЛ,45.3600096,28.812532
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція КСЕНІЄВЕ,46.36337,30.62144
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція ОДЕСА-ЗАСТАВА I,46.4776308,30.6545697
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція ОДЕСА-ЗАСТАВА II,46.463065,30.684796
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція ОДЕСА-ЛІСКИ,46.522819,30.60268
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція ОДЕСА-СОРТУВАЛЬНА,46.55422,30.754395
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція ОДЕСА-ТОВАРНА,46.45531,30.71124
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція САРАТА,46.0159204,29.6789749
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція ЧОРНОМОРСЬКА (ДЛЯ ТІС),46.82775,30.76
станція НОВОУКРАЇНКА,48.3321208,31.5167007,61892,станція ЧОРНОМОРСЬК-ПОРТ,46.32227,30.62932
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція АККАРЖА,46.3322,30.55886
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,46.1851723,30.3377686
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція ДАЧНЕ,50.8093821,25.4025522
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція ІЗМАЇЛ,45.3600096,28.812532
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція КОТЛАБУХ,45.6264999,28.9768277
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція КСЕНІЄВЕ,46.36337,30.62144
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція КУЛИНДОРОВЕ,46.633722,30.793111
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція ОДЕСА-ЗАСТАВА I,46.4776308,30.6545697
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція ОДЕСА-ЛІСКИ,46.522819,30.60268
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція ОДЕСА-СОРТУВАЛЬНА,46.55422,30.754395
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція ОДЕСА-ТОВАРНА,46.45531,30.71124
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція ЧОРНОМОРСЬКА (ДЛЯ ТІС),46.82775,30.76
станція ОЛЕКСАНДРІВКА,47.641152,31.300802,50530,станція ЧОРНОМОРСЬК-ПОРТ,46.32227,30.62932
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція БАХМАЧ-ПАСАЖИРСЬКИЙ,51.1877688,32.8412497
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція БОРИСПІЛЬ,50.3766975,30.9448324
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція БРОВАРИ,50.5147282,30.8132567
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція ВИШНЕВЕ,50.384178,30.37057
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція ГЛУХІВ,51.679907,33.938458
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція ДЕРГАЧІ,50.099319,36.135486
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція ЖМЕРИНКА,49.0346627,28.1115142
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція КИЇВ-ВОЛИНСЬКИЙ,50.4121955,30.4301124
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція КИЇВ-ДЕМІЇВСЬКИЙ,50.4047454,30.5370509
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція КОНОТОП,51.2240541,33.1877035
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція КОРОСТЕНЬ,50.95708,28.6346
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція МЕНА,51.5325603,32.2348727
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція НІЖИН,51.0179091,31.8888883
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція ОВРУЧ,51.3249995,28.8173906
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція ПЕРЕЯСЛАВСЬКА,50.2639559,31.6561389
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція ПОЧАЙНА,50.485104,30.500415
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція ШЕВЧЕНКОВЕ-ПІВДЕННЕ,49.6945751,37.1755033
станція ПЕНИЗЕВИЧІ,50.735632,29.371731,65841,станція ШЕПЕТІВКА,50.1965375,27.0658758
станція ПЕРЕДАТНА,47.819152,35.219715,9834,станція ВОДОЛАГА,49.706697,35.8782909
станція ПЕРЕДАТНА,47.819152,35.219715,9834,станція ІНДУСТРІАЛЬНА,49.962852,36.391769
станція ПЕРЕДАТНА,47.819152,35.219715,9834,станція ХАРКІВ-СОРТУВАЛЬНИЙ,50.030735,36.177962
станція ПОМІЧНА,48.2412797,31.4081962,23882,станція ІЗМАЇЛ,45.3600096,28.812532
станція ПОМІЧНА,48.2412797,31.4081962,23882,станція ОДЕСА-ЗАСТАВА I,46.4776308,30.6545697
станція ПОМІЧНА,48.2412797,31.4081962,23882,станція ОДЕСА-ЛІСКИ,46.522819,30.60268
станція РЕДУТИ,49.016034,33.56665,59081,станція ОСНОВА,49.9395953,36.2330042
станція РЕДУТИ,49.016034,33.56665,59081,станція ПОЛТАВА-ПІВДЕННА,49.5821613,34.5948456
станція РЕДУТИ,49.016034,33.56665,59081,станція СУПРУНІВКА,49.587831,34.476587
станція РЕДУТИ,49.016034,33.56665,59081,станція ХАРКІВ-БАЛАШОВСЬКИЙ,49.9740613,36.2767679
станція РЕДУТИ,49.016034,33.56665,59081,станція ХАРКІВ-ВАНТАЖНИЙ,49.847,36.2473
станція РЕДУТИ,49.016034,33.56665,59081,станція ХАРКІВ-СОРТУВАЛЬНИЙ,50.030735,36.177962
станція РОКИТНЕ,49.6956,30.5090999,16020,станція БРОВАРИ,50.5147282,30.8132567
станція РОКИТНЕ,49.6956,30.5090999,16020,станція ВИШНЕВЕ,50.384178,30.37057
станція РОКИТНЕ,49.6956,30.5090999,16020,станція КИЇВ-ДЕМІЇВСЬКИЙ,50.4047454,30.5370509
станція РОКИТНЕ,49.6956,30.5090999,16020,станція ПОЧАЙНА,50.485104,30.500415
станція РОКИТНЕ-ВОЛИНСЬКЕ,51.2710706,27.220723,14311,станція ПЕРСЕНКІВКА,49.8098013,24.030408
станція РОСТУЩА,47.8088516,35.2845533,10639,станція РУБІЖНЕ,49.0241813,38.3538418
станція РОСТУЩА,47.8088516,35.2845533,10639,станція ШПИЧКИНЕ,48.753699,37.5595991
станція САХАРНА,48.642709,32.625862,30294,станція ЗНАМ’ЯНКА,48.71067,32.6898635
станція САХАРНА,48.642709,32.625862,30294,станція ОДЕСА-ЛІСКИ,46.522819,30.60268
станція СЛАВУТА I,50.32072,26.88511,9064,станція ГРЕЧАНИ,49.4417946,26.930526
станція СЛАВУТА I,50.32072,26.88511,9064,станція ХМЕЛЬНИЦЬКИЙ,49.416645,27.0097674
станція СМОЛКА,50.5478,27.66,50126,станція ОЖИДІВ-ОЛЕСЬКО,49.971908,24.819727
станція СМОЛКА,50.5478,27.66,50126,станція ПЕРСЕНКІВКА,49.8098013,24.030408
станція СМОЛКА,50.5478,27.66,50126,станція РЯСНА II,49.8636374,23.9381062
станція СМОЛКА,50.5478,27.66,50126,станція САМБІР,49.5167877,23.2122175
станція СМОЛКА,50.5478,27.66,50126,станція СКНИЛІВ,49.818992,23.931606
станція СМОЛКА,50.5478,27.66,50126,станція ХРИПЛИН,48.8851079,24.7468767
станція СМОЛКА,50.5478,27.66,50126,станція ЩИРЕЦЬ II,49.6560451,23.8696466
станція СОКОРИКИ,51.019655,28.64205,18470,станція БРОВАРИ,50.5147282,30.8132567
станція СОКОРИКИ,51.019655,28.64205,18470,станція МАТІЇВЦІ,48.4984887,25.1616737
станція СОКОРИКИ,51.019655,28.64205,18470,станція НАДВІРНА,48.6242545,24.5847443
станція ТОМАШГОРОД,51.3017,27.0707001,46573,станція ГЛИННА-НАВАРІЯ,49.734195,23.8989759
станція ТОМАШГОРОД,51.3017,27.0707001,46573,станція ГОРОДОК-ЛЬВІВСЬКИЙ,49.789677,23.629894
станція ТОМАШГОРОД,51.3017,27.0707001,46573,станція КЛЕПАРІВ,49.854236,23.982583
станція ТОМАШГОРОД,51.3017,27.0707001,46573,станція ЛУЦЬК,50.7579233,25.3506657
станція ТОМАШГОРОД,51.3017,27.0707001,46573,станція ПЕРСЕНКІВКА,49.8098013,24.030408
станція ТОМАШГОРОД,51.3017,27.0707001,46573,станція ПІДЗАМЧЕ,49.8513992,24.0337885
станція ТОМАШГОРОД,51.3017,27.0707001,46573,станція СКНИЛІВ,49.818992,23.931606
станція ТОМАШГОРОД,51.3017,27.0707001,46573,станція ЯГОДИН (ЕКСП. ПКП),51.198201,23.895884
станція ТРИКРАТНЕ,47.7053,31.30533,15152,станція ІЗМАЇЛ,45.3600096,28.812532
станція ТРИКРАТНЕ,47.7053,31.30533,15152,станція ОДЕСА-ЗАСТАВА I,46.4776308,30.6545697
станція ТРИКРАТНЕ,47.7053,31.30533,15152,станція ОДЕСА-ЛІСКИ,46.522819,30.60268
станція ТРИКРАТНЕ,47.7053,31.30533,15152,станція ОДЕСА-ТОВАРНА,46.45531,30.71124
станція ТРИКРАТНЕ,47.7053,31.30533,15152,станція ЧОРНОМОРСЬКА (ДЛЯ ТІС),46.82775,30.76
станція УШИЦЯ,50.8063616,28.0648776,38824,станція БРОВАРИ,50.5147282,30.8132567
станція УШИЦЯ,50.8063616,28.0648776,38824,станція КОЗОВА,49.4296637,25.1642181
станція УШИЦЯ,50.8063616,28.0648776,38824,станція ПОЧАЙНА,50.485104,30.500415
станція УШИЦЯ,50.8063616,28.0648776,38824,станція РЯСНА II,49.8636374,23.9381062
