sender,lat_sender,lon_sender,no_wagons,receiver,lat_receiver,lon_receiver
станція АРЦИЗ,45.9968241,29.4199425,7236,станція КСЕНІЄВЕ (ЕКСП.),46.36337,30.62144
станція АРЦИЗ,45.9968241,29.4199425,7236,станція ОДЕСА-ПОРТ  (ЕКСП.),46.485545,30.748833
станція АРЦИЗ,45.9968241,29.4199425,7236,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,46.322273,30.629317
станція БАЛИН,48.90661,26.6346,12950,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція БАЛИН,48.90661,26.6346,12950,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,46.322273,30.629317
станція БАЛІВКА,48.592971,34.84023,8377,станція ЖОВТНЕВА  (ЕКСП.),46.834899,31.967136
станція БАЛІВКА,48.592971,34.84023,8377,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),46.9575,31.975556
станція БАЛІВКА,48.592971,34.84023,8377,станція ОДЕСА-ПОРТ  (ЕКСП.),46.485545,30.748833
станція БІЛОВОДИ,51.1722401,34.9760976,10939,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),46.9575,31.975556
станція БІЛОВОДИ,51.1722401,34.9760976,10939,станція ОДЕСА-ПОРТ  (ЕКСП.),46.485545,30.748833
станція БІЛОВОДИ,51.1722401,34.9760976,10939,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція БІЛОВОДИ,51.1722401,34.9760976,10939,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,46.322273,30.629317
станція БОБРОВИЦЯ,50.763995,31.3713796,10950,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),46.9575,31.975556
станція БОБРОВИЦЯ,50.763995,31.3713796,10950,станція ОДЕСА-ПОРТ  (ЕКСП.),46.485545,30.748833
станція БОБРОВИЦЯ,50.763995,31.3713796,10950,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,46.322273,30.629317
станція ВЕСЕЛИЙ КУТ,47.1060754,29.9920901,8647,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,46.322273,30.629317
станція ВІННИЦЯ,49.239428,28.5106651,8510,станція ОДЕСА-ПОРТ  (ЕКСП.),46.485545,30.748833
станція ВІННИЦЯ,49.239428,28.5106651,8510,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція ВІННИЦЯ,49.239428,28.5106651,8510,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,46.322273,30.629317
станція ГАДЯЧ ІМ. СЕРГІЄНКА МИКОЛИ ІВАНОВИЧА,50.3678365,33.9796724,14324,станція ЖОВТНЕВА  (ЕКСП.),46.834899,31.967136
станція ГАДЯЧ ІМ. СЕРГІЄНКА МИКОЛИ ІВАНОВИЧА,50.3678365,33.9796724,14324,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),46.9575,31.975556
станція ГАДЯЧ ІМ. СЕРГІЄНКА МИКОЛИ ІВАНОВИЧА,50.3678365,33.9796724,14324,станція ОДЕСА-ПОРТ  (ЕКСП.),46.485545,30.748833
станція ГАДЯЧ ІМ. СЕРГІЄНКА МИКОЛИ ІВАНОВИЧА,50.3678365,33.9796724,14324,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція ГЛОБИНЕ,49.399085,33.2271859,11755,станція ЖОВТНЕВА  (ЕКСП.),46.834899,31.967136
станція ГЛОБИНЕ,49.399085,33.2271859,11755,станція МИКОЛАЇВ-ВАНТАЖНИЙ,46.9576791,31.9758924
станція ГЛОБИНЕ,49.399085,33.2271859,11755,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),46.9575,31.975556
станція ГЛОБИНЕ,49.399085,33.2271859,11755,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,46.322273,30.629317
станція ДОЛИНСЬКА,48.1153645,32.7604175,10693,станція ЖОВТНЕВА  (ЕКСП.),46.834899,31.967136
станція ДОЛИНСЬКА,48.1153645,32.7604175,10693,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),46.9575,31.975556
станція ДОЛИНСЬКА,48.1153645,32.7604175,10693,станція ОДЕСА-ПОРТ  (ЕКСП.),46.485545,30.748833
станція ДУБНО,50.3867622,25.7527362,11383,станція КСЕНІЄВЕ (ЕКСП.),46.36337,30.62144
станція ДУБНО,50.3867622,25.7527362,11383,станція ОДЕСА-ПОРТ  (ЕКСП.),46.485545,30.748833
станція ДУБНО,50.3867622,25.7527362,11383,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція ЖМЕРИНКА,49.0346627,28.1115142,9278,станція КСЕНІЄВЕ (ЕКСП.),46.36337,30.62144
станція ЖМЕРИНКА,49.0346627,28.1115142,9278,станція ОДЕСА-ПОРТ  (ЕКСП.),46.485545,30.748833
станція ЖМЕРИНКА,49.0346627,28.1115142,9278,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція ЖМЕРИНКА,49.0346627,28.1115142,9278,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,46.322273,30.629317
станція ЗНАМ’ЯНКА,48.71067,32.6898635,7172,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),46.9575,31.975556
станція ЗНАМ’ЯНКА,48.71067,32.6898635,7172,станція ОДЕСА-ПОРТ  (ЕКСП.),46.485545,30.748833
