sender,receiver,cargo,tot_no_wagons,median_speed_km_day,avrg_money_UAH,avrg_tkm
станція ЗНАМ’ЯНКА,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,369,77,14341.31978,30862.78211
станція ЗОЛОТОНОША I,станція ЖОВТНЕВА  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,590,99,13708.69525,26188.41453
станція ЗОЛОТОНОША I,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,207,99,12948.38647,27337.97618
станція ЗОЛОТОНОША I,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,1696,96,13363.88603,25471.74854
станція ЗОЛОТОНОША I,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,397,96,11771.44937,26248.53476
станція ЗОЛОТОНОША I,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,576,109,15698.46215,36396.80837
станція ЗОЛОТОНОША I,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,254,91,16465.1689,42155.10343
станція РЕШЕТИЛІВКА,станція ЖОВТНЕВА  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,300,102,17445.103,34001.19637
станція РЕШЕТИЛІВКА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,227,143,18011.61806,46982.21564
станція РЕШЕТИЛІВКА,станція МИКОЛАЇВ-ВАНТАЖНИЙ,ЗЕРНО КУКУРУЗЫ,929,125,15673.37729,32928.34634
станція РЕШЕТИЛІВКА,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,569,125,13301.71828,33161.52018
станція РАДИВИЛІВ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,298,112,24730.95403,50697.56544
станція РАДИВИЛІВ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,463,135,25220.12333,52980.72964
станція РАДИВИЛІВ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,450,135,19132.13867,56381.50078
станція РАДИВИЛІВ,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,215,152,24949.44744,49819.91442
станція РАДИВИЛІВ,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,217,152,26180.38986,52235.27558
станція РАДИВИЛІВ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,445,124,18169.83955,51212.28341
станція РАХНИ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,309,82,12276.95696,28255.81351
станція РАХНИ,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,519,90,9442.255877,24195.31343
станція РАХНИ,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,287,90,8763.003484,24774.11807
станція РАХНИ,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,412,90,12448.92646,24315.10037
станція РАХНИ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,522,90,10731.51149,24783.17549
станція РАУХІВКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,382,24,4469.928796,4612.338743
станція РАУХІВКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЯЧМЕНЬ,651,24,4387.65192,4175.988479
станція РАУХІВКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,542,24,4894.585609,4920.583856
станція РАУХІВКА,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,380,28,5466.894211,5945.226632
станція РЯСНА,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,220,106,12786.29091,21356.67764
станція РУБЛІВКА,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,213,119,8943.3277,23292.43803
станція РУБІЖНЕ,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,615,125,29547.05561,52381.88398
станція РУБІЖНЕ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,335,151.5,33078.71373,68029.56313
станція РОЗДІЛЬНА I,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,207,47,5913.466667,9712.55
станція РОЗДІЛЬНА I,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,218,30,4253.277523,6222.715596
станція РОГАНЬ,станція ОДЕСА-ПОРТ  (ЕКСП.),СОЛОД В ЗЕРНЕ,1270,156,5555.808976,29157.06331
станція РОГАТИН,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,308,110,21979.90747,51210.65
станція РОГАТИН,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,258,95.5,27492.34341,47412.09744
станція РОГАТИН,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,383,101,18447.18642,46526.31154
станція РОКИТНЕ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,401,117,15769.66833,31236.64953
станція РОКИТНЕ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,214,117,18557.48271,32394.36757
станція РОМОДАН,станція МИКОЛАЇВ-ВАНТАЖНИЙ,ЗЕРНО КУКУРУЗЫ,958,149,14011.44697,29350.92109
станція РОМОДАН,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,467,112,10205.24304,29141.10493
станція БРАТОЛЮБІВКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,298,123,8540.35906,25214.95872
станція БЛИЗНЮКИ,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,201,116,16889.42786,36546.29194
станція БЛИЗНЮКИ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,216,156,16368.60324,53361.23671
станція БЛИЗНЮКИ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,423,126,14135.9104,36004.45674
станція БЛАКИТНЕ,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,246,49,8376.677236,10132.00606
станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЯЧМЕНЬ,312,33,3719.676923,3870.834423
станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,616,22,5029.700974,4539.616071
станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЯЧМЕНЬ,434,84,6116.518203,9945.027097
станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,398,56,7074.789196,11525.85528
станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,станція КСЕНІЄВЕ (ЕКСП.),ЯЧМЕНЬ,342,32,6202.916082,3757.283187
станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,206,58,7939.77767,8630.898058
станція БІЛГОРОДКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,294,127,23491.63605,48580.86939
станція БІЛГОРОДКА,станція ЯГОДИН (ЕКСП. ПКП),ЗЕРНО КУКУРУЗЫ,552,83,7201.449275,22155.81114
станція БІЛГОРОДКА,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,435,139,16857.82736,48127.87126
станція БІЛИЙ КОЛОДЯЗЬ,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,511,136,24079.20117,56462.68544
станція БІЛИЙ КОЛОДЯЗЬ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,490,256,23521.25122,71293.38187
станція БІЛИЙ КОЛОДЯЗЬ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,270,320,25745.84519,66477.89753
